sids,enrolled_courses
cf942eb8dac5120d1537ae229cae1a7c,""""""
70e5f539e089dab13f3e551806db1fc4,""""""
cde8ae1f1e21643e1a83956e21d2ff51,""""""
08139fb2641d581c11413705359efc01,""""""
7757fd59b501b02c04c4634346e76720,""""""
b96fe7cf9e420bac43cbf1240fc47897,""""""
c7b8a671d553f9bbcc96bbd7ae77e4a3,""""""
775f96d2398a0eea49c991fe339c6d0b,""""""
f176f176ae1d5ca82bf1279c3fa9c899,""""""
ae1b813688f07803c3aeeba4f58a99ee,""""""
8c909501ed76abbe72d74d9a3c2e8a28,""""""
7f49bfb5d9a9c18fe6b7cff7cb936118,""""""
14aaaafa1576576a1aee8a99eb12ce61,""""""
6b8bf99600da33e1dab295f8a0828d65,""""""
fa1a2eff085a16345913a3c17952ac08,""""""
eba0ad73438ee2b9058eb4fb72a52300,""""""
0e0a188caba6f1a6f15a6fa6400b107d,""""""
7bc90a8d42e4bc9c90d0b8c3572d23ca,""""""
e7318f4eb15f25c96f4d1780dc3ac966,""""""
6ab0bc81b01bf723559b9fd6d64e2399,""""""
a868d33a1ac9d7487e47c732529ef101,""""""
21891d4e9120c682dfc9b840e9f1f45c,""""""
7567ef5090173a5b05d2be358713c2ee,""""""
93f298f5d493b4436215c76b7d649137,""""""
ac1302ac31d0d36ab3c63e84b91f6d8a,""""""
75a644070558586e17f31dfacd4e44a5,""""""
f884d4c53b39eab8f6b7077289565a52,""""""
c2f292742b5535ab6d52e0a5feb1d978,""""""
8be3b7b57b1be40ac6fd9e0a92ff0889,"[""531242bb04e4416aef2cb4773d3e657c""]"
3cecdec3301524b9702a6885b21d7c87,""""""
53a5f5115bf8991764000cab763e8e8c,""""""
3d819615def9c66b9dc1b1cec5b4c855,""""""
2824720e0f3b93fce2853b76e2f9be87,""""""
296049562e1ff7fa4a8f5d29bbd9c2b1,""""""
32fc962a0f44a30e75ac9f000e0fa7a4,""""""
f22a868cb9fb9ea2655657c682855c43,""""""
4abac6d8ee90cd463f5e77feb44e26c7,""""""
988b31f6eb33b73912aab13f2889b500,""""""
151048346b64cde0d1b395716b1ca336,""""""
6e5eed83c1f27554e94621fb1f301ab1,""""""
bef258a2f1c4370db2e7663c6794b0e3,""""""
f6612bb4fb85366005249325c7429575,""""""
026f66af905c756204c150c8245c7bce,""""""
363a5e51fbe9f8bf10fedd97e108cb7c,""""""
07bdccb2bac26ced0bc27ce53f49a37f,""""""
fed628ee10f7840ac40c8a8e95392210,""""""
1ddf088ccd7b33089030ae6a7b35ba16,"[""57c362fa44b9d38d4f7349e38f4dbb70""]"
ab1e7ee38e5eae7303ea646489e14f4d,""""""
ce441f2feb3e84ba0f004164181250f1,""""""
2aa50911bc5eda32ee921afc7af5d6a5,""""""
d914c284c34e0490b55a6585510c184b,""""""
a40449f2d3cb3e4c0c434e4ecd2c1b19,""""""
0cf3039f6d6ffcc8fe17db136acf8b2a,""""""
a08d0236ec59583a4b5788734690712e,""""""
58d948eb6a6b7519fa08fd84a3963136,""""""
79a058c10ca53bed82e4b665a1944fdb,""""""
5d7c13c187da4b3d50d7ce2c2def3e86,""""""
ab281ce6ccabcdb82801a0f20a3966d6,""""""
9e1fae98601ea6d2f337f463406df8bb,""""""
bd059d833351f657c0c03cdf7424b9c8,""""""
